lat,lon,predicted_heat_flow_mW_m2
8.0,68.0,43.79895
8.0,68.25,50.203976
8.0,68.5,59.44529
8.0,68.75,61.328686
8.0,69.0,44.707626
8.0,69.25,73.64699
8.0,69.5,33.505077
8.0,69.75,46.270798
8.0,70.0,35.82884
8.0,70.25,46.73553
8.0,70.5,42.21094
8.0,70.75,52.279564
8.0,71.0,49.051296
8.0,71.25,55.751556
8.0,71.5,49.29955
8.0,71.75,50.89026
8.0,72.0,52.01733
8.0,72.25,43.515907
8.0,72.5,71.12428
8.0,72.75,49.073868
8.0,73.0,46.86258
8.0,73.25,47.390022
8.0,73.5,55.332455
8.0,73.75,57.38007
8.0,74.0,48.50475
8.0,74.25,42.630726
8.0,74.5,48.73518
8.0,74.75,50.525898
8.0,75.0,67.34023
8.0,75.25,41.99543
8.0,75.5,62.742046
8.0,75.75,52.743446
8.0,76.0,83.391464
8.0,76.25,37.291225
8.0,76.5,45.61693
8.0,76.75,46.2666
8.0,77.0,45.477283
8.0,77.25,81.62812
8.0,77.5,38.54574
8.0,77.75,39.607906
8.0,78.0,49.22156
8.0,78.25,44.215946
8.0,78.5,45.449203
8.0,78.75,40.69776
8.0,79.0,35.627743
8.0,79.25,56.65075
8.0,79.5,62.790512
8.0,79.75,52.964043
8.0,80.0,45.68877
8.0,80.25,67.14885
8.0,80.5,50.624016
8.0,80.75,53.3214
8.0,81.0,54.124104
8.0,81.25,43.59539
8.0,81.5,54.31251
8.0,81.75,37.315277
8.0,82.0,45.6066
8.0,82.25,64.96916
8.0,82.5,33.2624
8.0,82.75,46.149853
8.0,83.0,55.656506
8.0,83.25,33.018288
8.0,83.5,40.704857
8.0,83.75,56.812565
8.0,84.0,59.563023
8.0,84.25,66.09373
8.0,84.5,51.918068
8.0,84.75,45.577297
8.0,85.0,62.477375
8.0,85.25,41.996582
8.0,85.5,72.4312
8.0,85.75,50.028267
8.0,86.0,50.600025
8.0,86.25,43.222378
8.0,86.5,48.57326
8.0,86.75,60.27932
8.0,87.0,51.541958
8.0,87.25,51.901554
8.0,87.5,42.18692
8.0,87.75,46.83841
8.0,88.0,67.79123
8.0,88.25,49.85228
8.0,88.5,52.44535
8.0,88.75,57.353867
8.0,89.0,41.20547
8.0,89.25,42.784695
8.0,89.5,49.05491
8.0,89.75,48.80528
8.0,90.0,41.942226
8.0,90.25,60.289444
8.0,90.5,59.62546
8.0,90.75,64.376434
8.0,91.0,41.552
8.0,91.25,59.968967
8.0,91.5,59.526672
8.0,91.75,49.691616
8.0,92.0,85.4975
8.0,92.25,48.264122
8.0,92.5,72.03709
8.0,92.75,58.51388
8.0,93.0,39.380054
8.0,93.25,60.5769
8.0,93.5,44.137814
8.0,93.75,50.82642
8.0,94.0,63.198605
8.0,94.25,42.063496
8.0,94.5,47.696606
8.0,94.75,40.54887
8.0,95.0,53.159546
8.0,95.25,55.897038
8.0,95.5,60.56192
8.0,95.75,58.564186
8.0,96.0,67.42488
8.0,96.25,46.324215
8.0,96.5,54.324173
